id,signe,definition
632,EVANOUIR,"s'évanouir, évanouissement"
2405,TAXE,taxe
3783,NS:ANS,Ans
2863,TACHE.GRAVER,"cela m'a marqué! marquer, traumatiser, souvenir, ne jamais oublier"
1807,CA-VA,ca va?
3694,DUREE-TEMPS,"durée, période, temps"
2553,JARDIN,jardin
4021,NS:NEPAL(PEINTRE),"Népal, népalais, népalaise"
1091,BAFFLE,"baffle, musique résonnante"
1135,DESSINER,"dessin, dessiner, marqueur, art"
2380,FRANC-BELGE,franc belge (Fb)
2010,NS:DEAFHOOD(SOURD-VENTRE),deafhood
1950,NUANCE,"varier, Nuance, variable, ton"
1761,RATER,"rater, échec, échouer"
4019,VOYAGE.PLEURER,"voyage, voyager, aventure"
2058,DOLLAR.S,"dollar, $"
2383,OU.OU(LSF),"ou, ou bien"
1403,DE:BROSSER.COURS,"brosser les cours, sécher les cours"
1659,DE:MOTIVE-PAS,"pas motivé, pas envie, fatiguant"
3723,SOIREE(PL),"soirée, tous les soirée"
2251,APPROCHER,"(s')approcher, proche, près"
2641,NS:LAURA(F-SOURCIL),Laura
1672,SITE,site (internet)
81,BLAGUE.P,"blague, blaguer"
3940,CHANSIGNE.COMPTINE,"chanstigne, chanson"
648,L-AIR,"avoir l'air, sembler, penser"
1736,CLASSE.CHAMBRE,"classe, pièce, salle de classe"
864,PIPE,"pipe, fumer la pipe"
1948,NS:SUSANA(G-CERVEAU),Susana Sanchez
3790,BALLON,"balle, ballon, boule"
981,CERF,"cerf, élan"
762,FSIGN,morceau de signe
1434,NS:LAURENT-CLERC(PEINTURE-JOUE,Laurent Clerc
1645,CASSER,"casser, briser, détruire"
122,COMPLIQUE,"compliqué, complexe"
306,INCAPABLE,"incapable, ne sait pas, impossible, nul, ne connait rien"
3630,NS:JOSIANE(Y),Josiane
2936,NS:MC-DONALD(M-STATISTIQUE),Mc-donald
3743,DONNER.SEPARER,"donner un peu, répartir, séparer"
2873,METRE-CARRE,"mètre carré, m²"
2070,NS:FFSB-JEUNES(MAIN-JEUNES),ffsb-jeunes
3636,AVEC.OU,"avec, ensemble"
1567,CODA.CC,coda
1868,NS:SYRIE(SIX-MENTON),"Syrie, syrien"
1270,ACCUSE,"accuser, accusation"
424,PETIT,petit
1826,HEUREUX,"heureux, bonheur"
2558,TEINTE,"teinte, teindre"
3311,VENIR(LSF),"venir, ça vient de"
1754,AU-COURANT,"être au courant, se mettre au courant"
1399,EXPRESSION.VIDE,"expression vide, froideur"
284,HEURE-10,"à dix heures, à vingt-deux heures"
3818,MONTAGNE.CHAMEAU,montagne
357,MOIS-3,trois mois
2883,PAS.SOUFFLER,"il n'y a pas, aucun, il n'y a rien"
2969,PIPI(LSF),Pipi
4123,RASER,raser la barbe
1318,AUTRE.PART,"d'une part, d'autre part, à côté"
1745,CHERCHER.PRENDRE,"aller chercher, prendre"
1038,DOMMAGE,"dommage, zut, manqué"
2520,MOIS-4,quatre mois
834,MANTEAU,"manteau, se couvrir"
3006,MOINS.BAS,"moins, diminuer"
3659,NS:RAYMONDE(N-AMEN),Raymonde
3607,PROBLEME.BONBON,problème
2095,CERNES,"cernes, fatigué, fatigue, yeux pochés"
3948,FOND,"fond, arrière plan, tapissier"
2897,FORMATER-F,"formater, effacer, back-up"
1410,TREMBLER,"trembler, tremblement (de terre)"
897,CHERCHER,chercher
1556,SEVERE.DUR,"sévère, dur, intangible"
1969,TIMIDE,timide
3843,NS:ITALIE(MENTON-FORME),"Italie, italien"
3678,POIREAU,poireau
3622,SEXY,sexy
887,FORET,"forêt, bois"
3120,SECONDAIRE.S,secondaire
550,VELO,"vélo, faire du vélo, rouler à vélo, pédaler, pédalo"
2755,CHANGER-AVIS,"changer d'avis, changer d'opinion, décider pour autre chose"
2447,CONCENTRER.BATEAU,"concentrer, obséder"
3346,ENNEMI.DISPUTER,"se battre, se disputer, guerre"
1729,RESSEMBLE,"ressemble, ressembler"
2537,CHAMPIGNON,Champignon
3628,NS:NATHALIE(AGNEAU-N),Nathalie
1577,PANTALON,pantalon
3850,NS:THAILANDE(AVION.VOLE),Thaïlande
503,SAVOIR.AUTRE,"savoir, ne pas savoir"
925,SOUFFRIR,"souffrir, souffrance, torture"
2685,AUTRE.A-COTE,"autre, autrement, autre chose"
1233,DEVANT,(au) devant
335,FOYER,"maison, bâtiment, foyer, home"
